>Exons	1	24	0
0	2.98704810072127
2	2.08669801854172
4	1.37330091435718
6	0.539587027954161
8	0.223493897183514
10	0.234828093490967
12	0.320942159224559
14	0.19615448423765
16	0.205853104814288
18	0.393408896189612
20	2.15337153887939
22	2.75590095699883
24	2.80481336518997
26	1.78269405798851
28	0.566985893084087
30	0.411204723241017
32	0.240012736976113
34	0.253509742036639
36	0.247644122716662
38	0.26877253726132
40	0.220185242709011
42	0.259245272635042
44	0.885296532037094
46	2.5890485815314

>Introns	2	24	0
0	2.13582443737405
2	1.36351983677119
4	0.774683441095687
6	0.643882173388097
8	0.859211510553887
10	0.703404653075567
12	0.732527763126502
14	0.696494304884738
16	0.663461992067479
18	0.951598558200626
20	1.79318699420778
22	2.4787496118546
24	1.20301319500472
26	0.808927433584074
28	0.655559326516157
30	0.67171602995244
32	0.657698789570035
34	0.511217808296166
36	0.82723526997674
38	0.718888767057854
40	0.854379962221951
42	0.583226740545734
44	1.01863894795193
46	1.69295245272199

